Date,Total number of license issued,lowest price ,avg price,Total number of applicants
2-Jan,1400,13600,14735,3718
2-Feb,1800,13100,14057,4590
2-Mar,2000,14300,14662,5190
2-Apr,2300,16000,16334,4806
2-May,2350,17800,18357,4665
2-Jun,2800,19600,20178,4502
2-Jul,3000,19800,20904,3774
2-Aug,3000,21000,21601,4640
2-Sep,3200,23600,24040,4393
2-Oct,3200,26400,27040,4661
2-Nov,3200,30800,31721,4021
2-Dec,3600,27800,27848,3525
3-Jan,3000,18800,24267,9442
3-Feb,3000,23800,25254,12030
3-Mar,3000,28800,29551,11219
3-Apr,3300,34100,34845,8794
3-May,3800,35000,36903,14634
3-Jun,5500,36100,37667,15507
3-Jul,6000,36900,38269,11929
3-Aug,4500,38500,39369,9315
3-Sep,6650,28800,38728,8532
3-Oct,4500,32800,34842,9383
3-Nov,5042,33100,34284,9849
3-Dec,4776,37100,38054,10491
4-Jan,5000,38000,39516,8663
4-Feb,4800,39600,40053,10156
4-Mar,4800,43000,43333,9950
4-Apr,5500,44200,45492,8150
4-May,6527,10800,34226,8114
4-Jun,6233,17800,21001,19233
4-Jul,6600,21800,23544,14464
4-Aug,6800,25100,25991,15506
4-Sep,6640,29300,30033,10634
4-Oct,6600,28000,29768,9519
4-Nov,6600,26000,27620,9188
4-Dec,5500,29300,30282,9005
5-Jan,5500,28500,32520,6208
5-Feb,3800,31700,32425,8949
5-Mar,4000,34300,34684,9117
5-Apr,5000,36800,37355,8113
5-May,5833,35000,35661,9673
5-Jun,5690,37000,37479,8409
5-Jul,6326,37900,38378,8777
5-Aug,6829,25000,35905,7520
5-Sep,6700,26500,28927,10972
5-Oct,6000,25200,26385,11167
5-Nov,5700,29800,30320,13633
5-Dec,5700,35200,36749,8351
6-Jan,5000,26900,31220,5907
6-Feb,3800,34200,34887,12367
6-Mar,4500,38500,38932,8904
6-Apr,5000,37500,38326,7888
6-May,4500,37700,38139,8301
6-Jun,4500,39500,39752,8478
6-Jul,5500,39600,39966,8966
6-Aug,6200,39900,40459,9190
6-Sep,6500,37000,41601,7064
6-Oct,6500,36300,37899,11237
6-Nov,6000,37800,38460,110234
6-Dec,6500,39800,40518,9477
7-Jan,6000,38500,40974,6587
7-Feb,3500,39100,40473,5056
7-Mar,4000,41100,41573,10168
7-Apr,5500,43300,43623,10523
7-May,6000,44500,44853,10273
7-Jun,6000,47200,47711,11478
7-Jul,5500,45200,46581,10327
7-Aug,8000,46500,46897,12943
7-Sep,8500,48600,49631,10561
7-Oct,7500,50500,51000,10715
7-Nov,7500,53800,54317,10596
7-Dec,7500,50000,56042,10356
8-Jan,16000,8100,23370,20539
8-Mar,9300,31300,32169,63534
8-Apr,9000,37300,37659,37072
8-May,8200,34400,36047,26341
8-Jun,7700,33900,34947,21208
8-Jul,6800,33800,34491,16783
8-Aug,6000,35900,36460,13451
8-Sep,6500,29300,31788,11002
8-Oct,5000,32600,33224,11882
8-Nov,5500,21800,24351,10170
8-Dec,4500,31000,31665,16801
9-Jan,5200,28600,29399,16544
9-Feb,5200,33000,33394,16848
9-Mar,6000,26600,27552,18575
9-Apr,6500,28300,28724,17654
9-May,7200,28500,29100,16471
9-Jun,8000,30000,30363,17433
9-Jul,8000,32100,32522,17220
9-Aug,8000,36000,36231,18750
9-Sep,8500,27200,29500,14906
9-Oct,8000,33900,34402,22006
9-Nov,8000,34900,35317,21902
9-Dec,8000,36900,37593,18577
10-Jan,8000,37800,38311,18975
10-Feb,7500,38300,38620,18810
10-Mar,8000,39600,39882,17704
10-Apr,8500,41000,41637,17313
10-May,8500,41900,42262,16324
10-Jun,9200,39200,40380,16252
10-Jul,9000,38400,39362,13389
10-Aug,9000,39800,40169,16855
10-Sep,9000,41800,42180,15198
10-Oct,9000,43000,43271,14941
10-Nov,8500,44900,45291,13429
10-Dec,9000,10400,15970,11224
11-Jan,8000,38300,38771,30675
11-Feb,7500,44200,44627,25104
11-Mar,8000,46200,46657,25014
11-Apr,8000,46300,47399,22326
11-May,9000,47400,47700,25708
11-Jun,9000,48500,48855,22474
11-Jul,9000,50900,51174,21852
11-Aug,9000,51000,52228,21544
11-Sep,9500,52200,52622,22268
11-Oct,9000,53800,54008,19415
11-Nov,9000,45700,47635,20050
11-Dec,8500,51000,51437,26531
12-Jan,8000,52800,53195,24354
12-Feb,8000,55400,55632,23391
12-Mar,8000,58300,58625,24897
12-Apr,8500,61000,61626,22706
12-May,9300,64000,64367,24230
12-Jun,9500,55800,58227,24774
12-Jul,9500,57700,58271,26526
12-Aug,9500,62100,62559,21425
12-Sep,9500,65700,66425,19114
12-Oct,9500,65200,66708,19921
12-Nov,9500,66400,66946,19120
12-Dec,9500,68900,69346,18244
13-Jan,9000,75000,75332,20857
13-Feb,9000,83300,83571,24651
13-Mar,9000,90800,91898,23589
13-Apr,11000,83900,84101,26174
13-May,9000,80700,80803,22224
13-Jun,9000,77600,77823,21482
13-Jul,9000,76300,76465,21811
13-Aug,9000,74700,74939,22650
13-Sep,9000,73400,73492,35154
13-Oct,10000,82300,83723,28887
13-Nov,8500,75500,75717,38220
13-Dec,8500,76000,76093,39625
14-Jan,8100,73500,73501,41946
14-Feb,7400,73200,73357,45758
14-Mar,7400,73800,73872,61853
14-Apr,8200,74000,74113,94241
14-May,7400,74400,74503,114121
14-Jun,7400,73800,73896,135677
14-Jul,7400,74600,74680,136098
14-Aug,7400,73600,73785,121550
14-Sep,8300,73800,73875,122219
14-Oct,7400,74000,74075,105532
14-Nov,7400,73500,73633,95595
14-Dec,7447,73600,73687,96972
15-Jan,7990,74000,74216,98203
15-Feb,7653,76500,76618,103224
15-Mar,7406,74600,74830,132690
15-Apr,8288,80600,80759,152298
15-May,7482,79000,79099,156007
15-Jun,7441,80000,80020,172205
15-Jul,7531,83100,83171,166302
15-Aug,7454,82600,82642,166939
15-Sep,8727,82100,82172,165765
15-Oct,7763,85300,85424,170995
15-Nov,7514,84600,84703,169159
15-Dec,7698,84500,84572,179133
16-Jan,9409,82200,82352,187533
16-Feb,8363,83200,83244,196470
16-Mar,8310,83100,83148,221109
16-Apr,11829,85100,85127,256897
16-May,11598,85000,85058,277889
16-Jun,11546,84400,84483,275438
16-Jul,11475,87200,87235,240750
16-Aug,11549,86900,86946,251188
16-Sep,12889,86500,86523,229544
16-Oct,11621,88300,88359,213212
16-Nov,11549,88600,88665,215424
16-Dec,12261,88300,88412,219882
17-Jan,12215,87600,87685,232101
17-Feb,10157,88200,88240,251717
17-Mar,10356,87800,87916,262010
17-Apr,12196,89800,89850,252273
17-May,10316,90100,90209,270197
17-Jun,10312,89400,89532,244349
17-Jul,10325,92200,92250,269189
17-Aug,10558,91600,91629,256083
17-Sep,12413,91300,91415,250566
17-Oct,11388,93500,93540,244868
17-Nov,11002,93100,93130,226911
17-Dec,12147,92800,92848,228148
18-Jan,12183,87900,87936,226316
18-Feb,11098,87600,87660,220831
18-Mar,9855,88100,88176,217056
18-Apr,11916,86900,87089,204980
18-May,10216,89000,89018,198627
18-Jun,10775,87800,87900,209672
18-Jul,10395,88300,88380,202337
18-Aug,10402,88300,88365,192755
18-Sep,12712,87300,87410,189142
18-Oct,10728,88000,88070,181861
18-Nov,11766,87300,87374,177355
18-Dec,12850,87400,87508,165442
